input,output,model,bleu,bert,cosine,final_score,back_translation
But it cannot be all.,ਪਰ ਇਹ ਸਭ ਨਹੀਂ ਹੋ ਸਕਦਾ ਹੈ.,M2M,0.3162,0.9344,0.4794,0.8434,But that may not be all.
He is also a poet and writer.,ਉਸ ਵੀ ਕਲਾਕਾਰ ਅਤੇ ਕਲਾਕਾਰ ਹੈ।,M2M,0.4364,0.9586,0.5617,0.8792,He is also an artist and artist.
Shri modi said Economy and Ecology are not contradictory but complementary to each other.,ਸ਼੍ਰੀ ਮੋਦੀ ਨੇ ਕਿਹਾ ਕਿ ਅਰਥਸ਼ਾਸਤਰ ਅਤੇ ਵਾਤਾਵਰਣ ਇਕ-ਦੂਜੇ ਦੇ ਵਿਰੋਧੀ ਨਹੀਂ ਹਨ ਬਲਕਿ ਇੱਕ ਦੂਜੇ ਦੇ ਪੂਰਕ ਹਨ।,NLLB,0.2757,0.951,0.5154,0.8639,Shri Modi said that Economy and Environment are not opposites but complementary.
The current President Franois Olinda refused to contest the elections and his partys candidate was out of the ground in the first round of voting.,ਮੌਜੂਦਾ ਪ੍ਰਧਾਨ ਫਰਾਨੋਸ ਆਲਿਨਦਾ ਨੇ ਚੋਣ 'ਤੇ ਵਿਰੋਧ ਕਰਨ ਦਾ ਨੁਕਸਾਨ ਕੀਤਾ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਪਾਰਟੀ ਦੇ ਨਤੀਜੇ ਨੂੰ ਵਿਰੋਧ ਦੀ ਪਹਿਲੀ ਰੰਗ 'ਚ ਬਾਹਰ ਆਇਆ ਸੀ।,M2M,0.2341,0.8843,0.3967,0.7868,"The incumbent President, Fernando Alineda, lost the opposition to the election and his party's result came out in the first colour of opposition."
Logfile & path:,ਲਾਗਫਾਇਲ ਅਤੇ ਮਾਰਗ( P):,NLLB,0.0913,0.9312,0.3413,0.8132,Logfile and path ((P):
Track lengths below 4 seconds violate the Red Book standard.,ਟਰੈਕ ਲੰਬਾਈ 4 ਸਕਿੰਟ ਤੋਂ ਘੱਟ ਰੈੱਡ ਬੁੱਕ ਸਟੈਂਡਰਡ ਦੀ ਉਲੰਘਣਾ ਕਰਦੀ ਹੈ ।,NLLB,0.5045,0.9841,0.4596,0.8792,Track length less than 4 seconds violates the Red Book standard.
Iran has blamed Israel for the attack.,ਈਰਾਨ ਨੇ ਇਸ ਹਮਲੇ ਲਈ ਇਜ਼ਰਾਈਲ ਨੂੰ ਜ਼ਿੰਮੇਵਾਰ ਠਹਿਰਾਇਆ ਹੈ।,NLLB,1.0,1.0,0.0457,0.8091,Iran has blamed Israel for the attack.
"Gaurav Pundir of SD College and Gurjeet of Sarangpur village were the first and second runners-up, respectively.",ਐਸ. ਡੀ. ਕਾਲਜ ਦੇ ਗੌਰਵ ਪੁਂਦਰ ਅਤੇ ਸਰਾੰਗਪੁਰ ਪਿੰਡ ਦੇ ਗੁਰਜੀਤ ਪਹਿਲੇ ਅਤੇ ਦੂਜੇ ਸਥਾਨ ਤੇ ਸਨ।,NLLB,0.5941,0.957,0.1436,0.7943,Gaurav Pounder of SD College and Gurjit of Sarangpur village were in first and second place.
Others are also involved.,ਹੋਰ ਵੀ ਸ਼ਾਮਲ ਹਨ।,M2M,0.4137,0.9294,0.7076,0.885,Others are included.
An error occurred while detecting silences.,ਸ਼ਿਕਾਇਤ ਖੋਜ ਕਰਨ ਦੌਰਾਨ ਗਲਤੀ ਹੈ ।,M2M,0.0333,0.9095,0.3659,0.8008,There is an error in the investigation of a complaint.
Please insert an empty or appendable medium,ਖਾਲੀ ਜਾਂ ਜੋੜਨਯੋਗ ਮੀਡਿਅਮ ਦਿਓ ਜੀ,NLLB,0.488,0.9374,0.1358,0.7771,Please specify an empty or add-on medium
Delhi is far away.,ਦਿੱਲੀ ਬਹੁਤ ਦੂਰ ਹੈ।,NLLB,1.0,1.0,0.6407,0.9281,Delhi is far away.
Punjab ready for bumper wheat harvest of 182 lakh tonnes,ਪੰਜਾਬ 'ਚ 182 ਲੱਖ ਟਨ ਕਣਕ ਦੀ ਵਾਢੀ ਲਈ ਤਿਆਰੀ,NLLB,0.5394,0.9474,0.1976,0.7974,Preparation for harvest of 182 lakh tonnes of wheat in Punjab
"The airline is known for its customer service, comfort and state-of-the-art aircraft.","ਇਹ ਏਅਰਲਾਈਨ ਆਪਣੇ ਗਾਹਕ ਸੇਵਾ, ਆਰਾਮ ਅਤੇ ਆਧੁਨਿਕ ਜਹਾਜ਼ਾਂ ਲਈ ਜਾਣੀ ਜਾਂਦੀ ਹੈ।",NLLB,0.8257,0.9673,0.2504,0.824,"The airline is known for its customer service, comfort and modern flights."
"Set flags for partition %1 to ""%2""","partition% 1 ਲਈ ""% 2"" ਲਈ ਫਲੈਗ ਸੈੱਟ ਕਰੋ",M2M,0.0527,0.9267,0.7336,0.8881,"Set the flag for ""% 2"" for partition% 1"
Make new Snapshot,ਨਵਾਂ Snapshot ਬਣਾਓ,M2M,0.0913,0.9251,0.9138,0.9228,Create a new snapshot
Heavy Thunderstorm Rain Small Hail/ Snow Pellets,weather forecast,NLLB,0.0,0.8072,0.535,0.7528,weather forecast
Congress leaders death mourned,ਕਾਂਗਰਸ ਨੇਤਾਵਾਂ ਦੀ ਮੌਤ ਤੇ ਸੋਗ,NLLB,0.2582,0.9151,0.2685,0.7858,Death and mourning of Congress leaders
Juveria Abdul Majid Patni Vs,ਜੂਵਰੀਆ ਅਬੱਧ ਮਜਾਈਡ ਪਤਨੀ ਵਿਰੋਧੀ,M2M,0.0,0.8363,0.4474,0.7585,Juvria Abhadh Mazaid wife opposed
No distribution upgrade data is available,ਕੋਈ ਵੰਡ ਅੱਪਗਰੇਡ ਡਾਟਾ ਉਪਲੱਬਧ ਨਹੀਂ ਹੈ,NLLB,1.0,1.0,0.0755,0.8151,No distribution upgrade data is available
It is about the relationship of two friends -- a Pakistani and an Indian.,ਇਹ ਦੋ ਦੋ ਦੋਸਤਾਂ ਦੀ ਸੰਪਰਕ ਦੇ ਬਾਰੇ ਹੈ - ਇੱਕ ਪੈਕਸਟੇਨ ਅਤੇ ਇੱਕ ਇੰਡੀਆ।,M2M,0.4688,0.9537,0.4477,0.8525,It is about the connection of two friends - one Pakistan and one India.
Whether this is the first time the application is run.,ਕੀ ਇਹ ਪਹਿਲੀ ਵਾਰ ਐਪਲੀਕੇਸ਼ਨ ਚੱਲ ਰਹੀ ਹੈ।,NLLB,0.6239,0.9486,0.1857,0.796,Is this the first time the application is running?
"The district secretary of the party, Kartar Singh Bowani, city secretary Ramesh Rattan, assistant secretaries, Dr Arun Mitra and DP Maur, have described the increase as a bolt from the blue for the common man who was already reeling under difficulties.","ਪਾਰਟੀ ਦੇ ਜ਼ਿਲ੍ਹਾ ਸਕੱਤਰ ਕਰਤਾਰ ਸਿੰਘ ਬੋਵਾਨੀ, ਸ਼ਹਿਰੀ ਸਕੱਤਰੇਤ ਰਮੇਸ਼ ਰਤਨ, ਸਹਾਇਕ ਸੈਕਟਰੀ ਡਾ. ਅਰੁਣ ਮਿਤਰਾ ਅਤੇ ਡੀਪੀ ਮੌਰ ਨੇ ਇਸ ਵਾਧੇ ਨੂੰ ਆਮ ਆਦਮੀ ਲਈ ਨੀਲੇ ਰੰਗ ਦਾ ਬੱਲਟ ਦੱਸਿਆ ਹੈ।",NLLB,0.3548,0.9364,0.1285,0.7749,"Party District Secretary Kartar Singh Bhawani, Urban Secretary Ramesh Rattan, Assistant Secretary Dr. Arun Mitra and DP Maur have described the increase as a blue bolt for the common man."
"Kartarpur corridor: Punjab Assembly passes resolution, suggests land swap with Pakistan","ਕਰਤਾਰਪੁਰ ਕੋਰੀਡੋਰ: ਪੰਜਾਬ ਵਿਧਾਨ ਸਭਾ ਨੇ ਪਾਸ ਕੀਤਾ ਮਤਾ, ਪਾਕਿਸਤਾਨ ਨਾਲ ਜ਼ਮੀਨ ਬਦਲੀ ਦਾ ਸੁਝਾਅ",NLLB,0.7282,0.9938,0.2094,0.837,"Kartarpur Corridor: Punjab Legislative Assembly passes resolution, suggests land swap with Pakistan"
Singh died on the spot whole Atwal is still in critical condition.,ਸਿੰਘ ਦੀ ਮੌਕੇ ਤੇ ਹੀ ਮੌਤ ਹੋ ਗਈ ਅਤੇ ਉਸ ਦੀ ਹਾਲਤ ਗੰਭੀਰ ਹੈ।,NLLB,0.4228,0.9434,0.2292,0.8006,Singh died on the spot and his condition is serious.
A colourful function was organised in the school on the occasion.,ਇਸ ਮਾਮਲੇ 'ਚ ਸਕੂਲ 'ਚ ਰੰਗਦਾਰ ਫੰਕਸ਼ਨ ਕੀਤੀ ਗਈ।,M2M,0.2697,0.9245,0.3384,0.8072,"In this case, a colorful function was performed in the school."
"Though it is not yet confirmed, 20 teams from six continents, including last years champion India, Pakistan, Argentina, the USA, the UK, Canada, Sierra Leone, Iran, Denmark, Kenya, Spain, Scotland would reach Bathinda to participate in the inaugural function.","ਪਿਛਲੇ ਸਾਲਾਂ ਦੇ ਸ਼ਿਕਾਇਤ ਭਾਰਤ, ਪੈਕਸੀਨ, ਅੰਗਰੀਜ਼ਨ, ਅਮਰੀਕਾ, ਅਮਰੀਕਾ, ਅਮਰੀਕਾ, ਚੀਨ, ਚੀਨ, ਸ਼ੇਰਾ ਲੋਨ, ਇਰਾਨ, ਡੈਨਨ, ਕਿਨਿਨ, ਸਪੇਨ, ਸਕੂਟਲਡਾਨ ਦੇ 20 ਟੀਮਾਂ ਵਿੱਚੋਂ ਸ਼ਿਕਾਇਤ ਨਹੀਂ ਕੀਤਾ ਜਾਵੇਗਾ।",M2M,0.1578,0.8749,0.6131,0.8226,"Complaints from previous years among 20 teams from India, Pakistan, England, USA, USA, China, China, Shera Loon, Iran, Danan, Kinin, Spain, Scotland will not be complained."
The state government was receiving the sugar at subsidised rates from the Centre.,ਸੂਬਾ ਸਰਕਾਰ ਨੂੰ ਕੇਂਦਰ ਤੋਂ ਸਬਸਿਡੀ ਵਾਲੀਆਂ ਦਰਾਂ ਤੇ ਸ਼ੂਗਰ ਮਿਲ ਰਿਹਾ ਸੀ।,NLLB,0.7512,0.9829,-0.0098,0.7844,The state government was receiving sugar at subsidized rates from the Centre.
We demand action against those behind these crimes.,ਅਸੀਂ ਇਸ ਗੰਭੀਰ ਗੰਭੀਰ 'ਚ ਪੜ੍ਹਾਈ ਲਈ ਕਾਰਵਾਈ ਕਰਨ ਦੀ ਲੋੜ ਕਰ ਰਹੇ ਹਾਂ।,M2M,0.0471,0.9124,0.3858,0.807,We are demanding action for study at this critical level.
They must be released immediately and unconditionally.,ਉਨ੍ਹਾਂ ਨੂੰ ਤੁਰੰਤ ਅਤੇ ਬਿਨਾਂ ਸ਼ਰਤ ਰਿਹਾਅ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।,NLLB,0.7559,0.9955,0.2175,0.8399,They should be released immediately and unconditionally.
He made his debut in Bollywood with the movie ' Mukhbiir'.,ਉਨ੍ਹਾਂ ਨੇ ਫਿਲਮ 'ਮੁਖਬੀਰ' ਨਾਲ ਬਾਲੀਵੁੱਡ 'ਚ ਸ਼ੁਰੂਆਤ ਕੀਤੀ ਸੀ।,NLLB,0.211,0.9199,0.236,0.7831,She made her Bollywood debut with the film Mukherjee.
"Even when we share with others in such calamities as earthquakes, hurricanes, floods, famines, and ravages of warfare, these do not destroy our faith or our spiritual security.","ਭਾਵੇਂ ਅਸੀਂ ਦੂਸਰਿਆਂ ਨਾਲ ਭੂਚਾਲ, ਤੂਫਾਨ, ਹੜ੍ਹ, ਭੁੱਖਮਰੀ ਅਤੇ ਜੰਗਾਂ ਦੀਆਂ ਤਬਾਹੀ ਜਿਹੀਆਂ ਮੁਸੀਬਤਾਂ ਵਿਚ ਹਿੱਸਾ ਲੈਂਦੇ ਹਾਂ, ਪਰ ਇਹ ਸਾਡੀ ਨਿਹਚਾ ਜਾਂ ਸਾਡੀ ਰੂਹਾਨੀ ਸੁਰੱਖਿਆ ਨੂੰ ਨਾਸ ਨਹੀਂ ਕਰਦੇ ।",NLLB,0.6291,0.965,0.0993,0.7919,"Although we share with others in tribulations such as earthquakes, storms, floods, famines, and war disasters, they do not destroy our faith or our spiritual security."
Each line in all colours,ਸਭ ਰੰਗਾਂ ਵਿੱਚ ਹਰ ਲਾਈਨ,M2M,0.7746,0.9923,0.5872,0.9113,Each line in all colors
The movie is reportedly going to be released soon.,ਇਸ ਫਿਲਮ ਨੂੰ ਛੇਤੀ 'ਚ ਫਿਲਟਰ ਕੀਤਾ ਜਾਵੇਗਾ।,M2M,0.0607,0.92,0.5373,0.8434,The film will be filtered soon.
Congress vice-president Rahul Gandhi had his roadshow in the city on the first day of the Test.,ਟੈਸਟ ਦੇ ਪਹਿਲੇ ਦਿਨ ਕਾਂਗਰਸ ਦੇ ਉਪ ਪ੍ਰਧਾਨ ਰਾਹੁਲ ਗਾਂਧੀ ਨੇ ਰੋਡ ਸ਼ੋਅ ਕਰਵਾਇਆ।,NLLB,0.3835,0.9506,0.447,0.8499,"On the first day of the test, Congress Vice President Rahul Gandhi held a road show."
I always wanted to become a writer.,ਮੈਂ ਹਮੇਸ਼ਾ ਕਲਾਕਾਰ ਹੋਣਾ ਚਾਹੁੰਦੇ ਹਾਂ।,M2M,0.5345,0.9785,0.6562,0.9141,I always wanted to be an artist.
A total of 600 students received scholarships during the carnival.,ਕਾਰਨੀਵੋਲ ਦੌਰਾਨ 600 ਵਿਦਿਆਰਥੀਆਂ ਨੇ ਸੈਕਟਰਫੇਸ ਪ੍ਰਾਪਤ ਕੀਤਾ।,M2M,0.2296,0.9186,0.6143,0.8578,"During Carnival, 600 students received Sectorface."
X login on %1,% 1 ਉੱਤੇ X ਲਾਗਇਨName,M2M,0.0816,0.9189,0.6594,0.867,X log on to % 1Name
Show Clutter Options,ਗੜਬੜੀ ਚੋਣਾਂ ਵੇਖੋ,NLLB,0.0,0.8448,0.3967,0.7552,Look at the messy elections
This aroused a dispute between the husband and wife.,ਇਸ ਕਾਰਨ ਪਤੀ-ਪਤਨੀ ਵਿਚਾਲੇ ਝਗੜਾ ਹੋ ਗਿਆ।,NLLB,0.4082,0.9771,0.4164,0.865,This led to a quarrel between husband and wife.
A primary way that we can grow in our love for Jehovah is to reflect on the life and ministry of Jesus.,ਯਹੋਵਾਹ ਲਈ ਸਾਡੀ ਪਸੰਦ ਵਿਚ ਮਜ਼ਬੂਤ ਕਰ ਸਕਦਾ ਹੈ ।,M2M,0.0127,0.9139,0.5809,0.8473,It can strengthen our determination to serve Jehovah.
Search on KDE's Userbase,KDE ਦੇ ਯੂਜ਼ਰ ਬੈਸ 'ਤੇ ਖੋਜ,M2M,0.2182,0.9593,0.6891,0.9052,Search on the user base of KDE
People are greatly incensed by it.,ਇਸ 'ਤੇ ਲੋਕ ਬਹੁਤ ਜ਼ਿਆਦਾ ਜ਼ਰੂਰ ਹਨ।,M2M,0.189,0.916,0.33,0.7988,People are very much in need of this.
GNOME Nibbles Game,GNOME Nibbles ਗੇਮ,NLLB,0.5774,0.9884,0.9521,0.9811,GNOME Nibbles game
He joined the PAF in 1997 and was around 24 when he was arrested in early 2004.,ਉਸ ਨੇ 1997 ਵਿੱਚ ਪੀ. ਪੀ. ਐਫ. ਵਿੱਚ ਸ਼ਾਮਲ ਕੀਤਾ ਅਤੇ 2004 ਦੀ ਸ਼ੁਰੂਆਤ ਵਿੱਚ ਉਸ ਨੂੰ ਗ੍ਰਿਫ਼ਤਾਰ ਕੀਤਾ ਗਿਆ ਸੀ।,M2M,0.5709,0.9652,0.6847,0.9091,He joined the PPF in 1997 and was arrested in early 2004.
"Amongst its various initiatives, implementations and programmes, one that requires highlighting is TRIBES Indias design initiative.","ਇਸ ਦੇ ਵੱਖ-ਵੱਖ ਪ੍ਰੋਗਰਾਮਾਂ, ਪ੍ਰੋਗਰਾਮਾਂ ਅਤੇ ਪ੍ਰੋਗਰਾਮਾਂ ਵਿਚੋਂ ਇਕ ਹੈ, ਜਿਸ ਨੂੰ ਹਾਈਲਿਟ ਕਰਨ ਦੀ ਲੋੜ ਹੈ, ਕਿ ਟ੍ਰਾਈਬਸ ਭਾਰਤ ਦੀ ਡਿਜ਼ਾਇਨ ਪ੍ਰੋਗਰਾਮ ਹੈ।",M2M,0.1919,0.9098,0.3944,0.8067,"One of its various programmes, programmes and programmes, which needs to be highlighted, is that Tribus is India's design programme."
"Connecting to server %1, please wait...","ਸਰਵਰ% 1 ਨਾਲ ਸੰਪਰਕ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ, ਉਡੀਕ ਕਰੋ...",M2M,0.0577,0.9052,0.4569,0.8155,"Server% 1 is being contacted, wait..."
"According to the depositories data, foreign investors pulled out a net sum of Rs 1,668.8 crore from equities.","ਡਿਪਾਜ਼ਿਟਰੀਆਂ ਦੇ ਅੰਕੜਿਆਂ ਮੁਤਾਬਕ ਵਿਦੇਸ਼ੀ ਨਿਵੇਸ਼ਕਾਂ ਨੇ ਇਕੁਇਟੀ ਤੋਂ 1,668.8 ਕਰੋੜ ਰੁਪਏ ਦੀ ਸ਼ੁੱਧ ਰਕਮ ਕੱਢੀ ਹੈ।",NLLB,0.4781,0.9541,0.0155,0.7663,"According to the data of the Depositories, foreign investors have withdrawn a net amount of Rs 1,668.8 crore from the equity."
Create a traditional audio CD,ਆਡੀਓ CD ਬਣਾਓ,M2M,0.3894,0.9576,0.6836,0.9028,Create an audio CD
There are no videos to write to disc,ਡਿਸਕ ਉੱਤੇ ਲਿਖਣ ਲਈ ਕੋਈ ਵਿਡੀਓ ਨਹੀਂ ਹੈ,M2M,0.3727,0.9511,0.3029,0.8215,There is no video to write to the disk
Most common of those are:,ਇਸ ਵਿਚੋਂ ਸਭ ਤੋਂ ਆਮ ਹਨ:,M2M,0.3162,0.9783,0.5149,0.8856,The most common of these are:
Search path for resource type,ਸਰੋਤ ਕਿਸਮ ਲਈ ਖੋਜ ਮਾਰਗ,NLLB,1.0,1.0,0.3236,0.8647,Search path for resource type
A solution to this issue should be found through discussion.,ਇਸ ਸਮੱਸਿਆ ਦਾ ਹੱਲ ਚਲਾਇਆ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ।,M2M,0.2944,0.9477,0.3317,0.8245,The solution to this problem must be implemented.
The police is still interrogating the accused.,ਪੁਲੀਸ ਮੁਲਜ਼ਮ ਦੀ ਜਾਂਚ ਕਰ ਰਹੀ ਹੈ।,M2M,0.0474,0.9467,0.357,0.8288,Police are investigating the suspect.
The seat fell vacant following the death of sitting TMC MLA Kasturi Das.,ਇਸ ਸੀਟ ਤੇ ਬੈਠੇ ਟੀ. ਐੱਮ. ਸੀ. ਦੇ ਵਿਧਾਇਕ ਕਸਤੂਰੀ ਦਾਸ ਦੀ ਮੌਤ ਤੋਂ ਬਾਅਦ ਖਾਲੀ ਹੋ ਗਈ ਹੈ।,NLLB,0.4364,0.9607,0.0993,0.7884,TMC MLA sitting in this seat has been vacant since the death of Kasturi Das.
10 mobiles recovered from two snatchers,ਦੋ ਸਨਟਚਰਾਂ ਤੋਂ 10 ਮੋਬਾਈਲ ਬਚਾਏ,M2M,0.2673,0.9165,0.4556,0.8244,10 mobile phones rescued from two sanctuaries
"It also comes in a bevy of colourful shades such as red, yellow, blue and grey.","ਇਹ ਵੀ ਰੰਗ, ਰੰਗ, ਰੰਗ, ਰੰਗ, ਰੰਗ ਅਤੇ ਰੰਗ ਦੇ ਰੰਗ ਵਿੱਚ ਆਉਂਦਾ ਹੈ।",M2M,0.2241,0.8946,0.436,0.8029,"It also comes in colour, colour, colour, colour and colour."
Starting DAO writing at %1x speed...,% 1x ਸਪੀਡ ਨਾਲ DAO ਲਿਖਣ ਸ਼ੁਰੂ ਹੋ ਰਹੀ ਹੈ...,M2M,0.0577,0.931,0.696,0.884,Starting to write DAO at a rate of % 1x...
Preview & in %1,% 1 ਵਿੱਚ ਚਲਾਓ( I),M2M,0.0707,0.8903,0.5938,0.831,Run in % 1 (I)
The Prime Minister said he is at SPIEF as a representative of 1.25 billion people.,ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਨੇ ਕਿਹਾ ਕਿ ਉਹ 1.25 ਮਿਲੀਅਨ ਲੋਕ ਦੇ ਪ੍ਰਦਰਸ਼ਨੀ ਦੇ ਤੌਰ 'ਤੇ SPIEF 'ਤੇ ਹਨ।,M2M,0.5916,0.9476,0.3743,0.8329,The Prime Minister said that he is on SPIEF as a demonstration of 1.25 million people.
"An FIR has been lodged against over two dozen persons in this regard, police said.",ਪੁਲੀਸ ਨੇ ਦੱਸਿਆ ਕਿ ਇਸ ਸਬੰਧੀ ਦੋ ਦਰਜਨ ਤੋਂ ਵੱਧ ਲੋਕਾਂ ਖ਼ਿਲਾਫ਼ ਐੱਫਆਈਆਰ ਦਰਜ ਕਰਵਾਈ ਗਈ ਹੈ।,NLLB,0.4342,0.9664,0.0841,0.7899,"More than two dozen FIRs have been filed in this regard, police said."
"On being informed about the incident, police reached the spot and seized the body.",ਇਸ ਘਟਨਾ ਬਾਰੇ ਜਾਣਕਾਰੀ ਪ੍ਰਾਪਤ ਕਰਨ ਤੋਂ ਬਾਅਦ ਪੁਲੀਸ ਨੇ ਸਥਿਤੀ 'ਤੇ ਆਇਆ ਅਤੇ ਜਸ਼ਾਂ ਨੂੰ ਗ੍ਰਿਫ਼ਤਾਰ ਕੀਤਾ।,M2M,0.2582,0.9442,0.4458,0.8445,"After obtaining information about the incident, the police came to the scene and arrested Jashan."
Rebuilding all image thumbnails can take some time. Do you want to continue?,ਸਭ ਚਿੱਤਰ ਥੰਬਨੇਲ ਮੁੜ ਬਣਾਉਣ ਵਿੱਚ ਕੁਝ ਸਮਾਂ ਲੱਗ ਸਕਦਾ ਹੈ । ਕੀ ਤੁਸੀਂ ਜਾਰੀ ਰੱਖਣਾ ਚਾਹੁੰਦੇ ਹੋ?,NLLB,0.663,0.9715,0.0655,0.7903,All image thumbnails can take some time to recreate. Do you want to continue?
Do not show open documents,ਖੁੱਲ੍ਹੇ ਦਸਤਾਵੇਜ਼ ਨਾ ਵੇਖਾਓ,NLLB,0.6325,0.9754,0.3304,0.8464,Do not display open documents
Former PM Manmohan Singh arrives,ਪਿਛਲੇ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਮਨਮੂਹਨ ਸਿੰਘ ਆਇਆ ਹੈ।,M2M,0.2182,0.9333,0.3344,0.8135,Last Prime Minister Manmohan Singh has arrived.
